Org_Name,Region_Code,Parent_Group,Audit_Sector,Compliance_Status
LEADING STAR THANH HOA GARMENT COMPANY LIMITED,Vietnam,LEADING STAR,FINISHED GOODS,Pass
"H&L APPAREL(VIETNAM) CO.,LTD",Vietnam,H&L,FINISHED GOODS,Pass
PT Rodeo Prima Jaya,Indonesia,PRIMA,FINISHED GOODS,Pass
Eren Perakende ve Tekstil AS (Misinli),Turkey,EREN PERAKENDE,FINISHED GOODS,Pass
Hirdaramani Fashions (Pvt) Ltd - Vavuniya,Sri Lanka,HIRDARAMANI FASHIONS (PVT) LTD VAVUNIYA,FINISHED GOODS,Pass
YKK INDIA PVT. LTD. ,India,YKK,FINISHED GOODS - COMPONENTS,Pass
FUQING TIONGLIONG XINYE SHOES MATERIAL CO LTD,China,TIONG LIONG GROUP,MATERIALS,Pass
"NINGBO MITSUBANA APPERAL CO., LTD",China,NINGBO MITSUBANA,FINISHED GOODS,Pass
"TRANSFER TECH CO., LTD",Thailand,TRANSFER TECH CO LTD,FINISHED GOODS - COMPONENTS,Pass
Far Eastern Apparal Suzhou Ltd. Co,China,FAR EASTERN,FINISHED GOODS,Pass
OUTLOOK INTERNATIONAL GROUP (VIETNAM) COMPANY LIMITED,Vietnam,WENZHOU OUTLOOK,FINISHED GOODS,Pass
TAYIN R&D CO LTD (CHINA),China,TAYIN,MATERIALS,Pass
"Qingdao Changshin Shoes Co., Ltd.",China,CHANGSHIN,FINISHED GOODS,Pass
"MANUFACTURE OF ARTISTIC BELT & ACCESSORIES CO., LTD.",Vietnam,ARTISTIC BELT AND ACCESSORIES,FINISHED GOODS,Pass
"Regina Miracle International Vietnam Co., Ltd",Vietnam,REGINA MIRACLE,FINISHED GOODS,Pass
MAXIM IMPRESSION LANKA (PVT) LTD,Sri Lanka,MAXIM,MATERIALS,Pass
PT Adis Dimension Footwear,Indonesia,SHOETOWN,FINISHED GOODS,Pass
"Gifted Hosiery (Cambodia) Co., Ltd.",Cambodia,ZHEJIANG WALT,FINISHED GOODS,Pass
"Worldon Vietnam Co., Ltd. (Flyknit)",Vietnam,SHENZHOU,FINISHED GOODS - COMPONENTS,Pass
Song Lin Garment Sdn Bhd,Malaysia,RAMATEX,FINISHED GOODS,Pass
"ECLAT TEXTILE CO., LTD. (VIETNAM)",Vietnam,ECLAT,FINISHED GOODS,Pass
Delta Galil Industries LTD Egypt,Egypt,DELTA EQ GROUP,FINISHED GOODS,Pass
"Acode Sporting Goods Co., Ltd.",Vietnam,EXCELLENCE SPORTING GOODS,FINISHED GOODS,Pass
PT. Shinjin Tex Indonesia,Indonesia,SHIN JIN TEXTILE,FINISHED GOODS - COMPONENTS,Pass
Sheyang Zhixiang Knitting Clothing Factory,China,ZHIXIANG KNITTING FACTORY,FINISHED GOODS,Pass
"Delta Galil Vietnam Co., Ltd",Vietnam,DELTA EQ GROUP,FINISHED GOODS,Pass
Augusta Sportswear de Mexico S. de R.L. de C.V.,Mexico,MOMENTEC,FINISHED GOODS,Pass
Quanzhou  Fengze Yisheng Leather Co,China,GRUPO MEXICO,FINISHED GOODS,Pass
UAB Haltex,Lithuania,UAB HALTEX,FINISHED GOODS,Pass
Paxar Packaging Guangzhou Ltd.,China,AVERY DENNISON,MATERIALS,Pass
PT. Tayin Footwear Indonesia,Indonesia,TAYIN,FINISHED GOODS - COMPONENTS,Pass
"MDK Embroideries Garments Co., Ltd",Vietnam,THUAN PHUONG,FINISHED GOODS,Pass
Jinadasa Bennett (Pvt) Ltd. Mawathagama,Sri Lanka,FOUNDATION GARMENTS,FINISHED GOODS,Pass
"SIGMA VIETNAM INDUSTRIAL CO.,LTD",Vietnam,SIGMA,FINISHED GOODS,Pass
PAIHO (WUXI 1),China,PAIHO GROUP,MATERIALS,Pass
PT Mercindo Global Manufaktur,Indonesia,MERCINDO,FINISHED GOODS,Pass
Wan Way,Taiwan,WAN WAY,FINISHED GOODS,Pass
"Colltex Garment Mfy Co., Ltd.(VN)",Vietnam,ECLAT,FINISHED GOODS,Pass
Far Eastern Dyeing & Finishing (SuZhou) LTD,China,FAR EASTERN,MATERIALS,Pass
SHAHI EXPORTS PVT LTD UNIT 26,India,SHAHI,FINISHED GOODS,Pass
PT Shoetown Kasokandel Indonesia,Indonesia,SHOETOWN,FINISHED GOODS - COMPONENTS,Pass
Honways Apparel Shuyang Limited,China,HONSIN,FINISHED GOODS,Pass
"Weifang Aoxiang Sports Products Co., Ltd",China,WEIFANG AOXIANG SPORTS,FINISHED GOODS,Pass
"COSMO TEXTILE CO.,LTD(ZHONGSHAN)",China,COSMOPOLITAN TEXTILE,MATERIALS,Pass
"Unichela (Pvt)Ltd, Vidiyal Division",Sri Lanka,MAS HOLDINGS,FINISHED GOODS,Pass
SAMIL TEXTILE CO LTD (Korea),South Korea,SAMIL,MATERIALS,Pass
"TIANCHEN (CAMBODIA) LUGGAGE CO., LTD.",Cambodia,HIP KEUNG,FINISHED GOODS,Pass
RJ Liebe Athletic Lettering Co. (Downtown),USA,RJ LIEBE ATHLETIC LETTERING,FINISHED GOODS,Pass
The Emblem Source,USA,EMBLEM SOURCE,FINISHED GOODS,Pass
"Vung Tau Orient Co., Ltd",Vietnam,FENG TAY AC,FINISHED GOODS,Pass
DONGGUAN JUN SHENG FOOTWEAR PARTS CO LTD (KURIM DONGGUAN) (CHINA),China,KURIM,MATERIALS,Pass
VIETNAM CHINGLUH SHOES CO. Ltd.,Vietnam,CHING LUH,FINISHED GOODS,Pass
HUA FENG (CHINA),China,HUA FENG TEXTILE,MATERIALS,Pass
"Qingdao Changshin Shoes Co., LTD. Jimo Factory",China,CHANGSHIN,FINISHED GOODS,Pass
"Dongguan Youkai Industrial Co., Ltd",China,DONGGUAN YOUKAI,FINISHED GOODS,Pass
SHANGHAI YKK ZIPPER CO LTD (MINGHANG BRANCH),China,YKK,MATERIALS,Pass
ASIATAN (CHINA),China,ASIATAN,MATERIALS,Pass
"Vietnam Chingluh Shoes Co., Ltd - Vinh Long Branch",Vietnam,CHING LUH,FINISHED GOODS,Pass
CHANG SHIN DONG NAI COMPANY LTD,Vietnam,CHANGSHIN,FINISHED GOODS,Pass
"DECOTEX INTERNATIONAL, Ldta de C.V.",El Salvador,TEGRA,FINISHED GOODS,Pass
"Shaanxi White River Apparel CO., LTD.",China,SPORTS CITY,FINISHED GOODS,Pass
RAMATEX TEXTILES (NANTONG) LTD,China,RAMATEX,FINISHED GOODS,Pass
"Shoetown Footwear Co.,Ltd",China,SHOETOWN,FINISHED GOODS,Pass
"FORMOSA TAFFETA CO., LTD.",Taiwan,FORMOSA TAFFETA,MATERIALS,Pass
Der Will S.A.,Argentina,DER WILL,FINISHED GOODS,Pass
KUO YUEN (VIETNAM) TAY NINH,Vietnam,KUO YUEN,MATERIALS,Pass
HUA FENG (VIETNAM),Vietnam,HUA FENG TEXTILE,MATERIALS,Pass
WILSON (VIETNAM) LTD,Vietnam,WILSON GARMENT,FINISHED GOODS - COMPONENTS,Pass
"CAN SPORTS VIETNAM CO., LTD",Vietnam,SPORTS GEAR,FINISHED GOODS,Pass
CHANG SHIN INDONESIA,Indonesia,CHANGSHIN,FINISHED GOODS,Pass
"TREMON SPORTING GOODS ENTERPRISE CO.,LTD (A STRIKER)",Vietnam,TREMON,FINISHED GOODS,Pass
"Dalian YKK Zipper Co.,Ltd.",China,YKK,MATERIALS,Pass
Imperial Winona,USA,PARAMOUNT,FINISHED GOODS,Pass
Mas Fabrics Pvt Ltd - Methliya,Sri Lanka,MAS HOLDINGS,FINISHED GOODS,Pass
PT YC TEC INDONESIA,Indonesia,YC TEC CORPORATION,FINISHED GOODS - COMPONENTS,Pass
"Shoetown Hunan FOOTWEAR CO.,LTD",China,SHOETOWN,FINISHED GOODS,Pass
"VERTEX APPAREL 2022 CO.,LTD.",Thailand,HI TECH,FINISHED GOODS,Pass
"Di Seta (Cambodia) Co.,Ltd",Cambodia,DI SETA (CAMBODIA),FINISHED GOODS,Pass
"Berry Apparel (Cambodia) Co., Ltd.",Cambodia,RAMATEX,FINISHED GOODS,Pass
DUCKSAN CO LTD (Vietnam),Vietnam,DUCKSAN,MATERIALS,Pass
"UNIPAX VI THANH CO., LTD.",Vietnam,HWASEUNG CROWN,FINISHED GOODS,Pass
Staples Promotional Products,USA,STAPLES CONTRACT AND COMMERCIAL,FINISHED GOODS,Pass
TONG HONG TANNERY CO LTD (CHINA),China,TONG HONG,MATERIALS,Pass
Sterling Apparel Manufacturing L.L.C. Sahab,Jordan,MAS HOLDINGS,FINISHED GOODS,Pass
"SUMBER MASANDA JAYA, PT",Indonesia,PRATAMA,FINISHED GOODS,Pass
Sarno Display S.r.l. SOCIETA' BENEFIT,Italy,GATTO,FINISHED GOODS,Pass
"Sato knit Co., Ltd",Japan,SATO KNIT,FINISHED GOODS,Pass
LION BROTHERS (SHENZHEN) CO. LTD.,China,LION BROTHERS,FINISHED GOODS - COMPONENTS,Pass
"Feng Tay Enterprises Co., Ltd",Taiwan,FENG TAY,FINISHED GOODS,Pass
Far Eastern Apparel Limited Vietnam,Vietnam,FAR EASTERN,FINISHED GOODS,Pass
Delta Socks Ltd.,Israel,DELTA EQ GROUP,FINISHED GOODS,Pass
East Wind Footwear Company Limited (India Branch) - Unit 2,India,FENG TAY,FINISHED GOODS,Pass
"Xiamen Goge Garment Co., LTD",China,XIAMEN GOGE,FINISHED GOODS,Pass
Viet Khanh Company Limited,Vietnam,SOUTH ISLAND,FINISHED GOODS,Pass
HAYAFUJI,Japan,HAYAFUJI,FINISHED GOODS,Pass
AVERY DENNISON (GUANGZHOU) CONVERTED PRODUCTS LTD.,China,AVERY DENNISON,MATERIALS,Pass
JK GARMENTS (PRIVATE) LIMITED,Sri Lanka,HONSIN,FINISHED GOODS,Pass
HESHAN TOP EAGLE GARMENT LTD.,China,NICE APPAREL,FINISHED GOODS,Pass
"Pilotknit Sport Wear Co.,ltd.",Thailand,PILOT,FINISHED GOODS,Pass
PT Morich Indo Fashion,Indonesia,MORICH,FINISHED GOODS,Pass
Vertical Knits S.A. de C.V.,Mexico,VERTICAL KNITS,FINISHED GOODS,Pass
"Textiles La Paz, L.L.C.",El Salvador,FUN TEES,FINISHED GOODS,Pass
"JOONGANG DYEING FABRIC CO., LTD",South Korea,JOONGANG TEXTILE,MATERIALS,Pass
SUNNY JET HOSIERY (CAMBODIA) CO.LTD,Cambodia,SUNNY JET,FINISHED GOODS,Pass
PAIHO (TAIWAN)- Knitting,Taiwan,PAIHO GROUP,MATERIALS,Pass
"Song Hong Garment JSC - Song Hong 7 Branch: Factory 11,12,13,14",Vietnam,SONG HONG,FINISHED GOODS,Pass
"Paramount Apparel International, LLC.",USA,PARAMOUNT,FINISHED GOODS,Pass
Ramatex Apparel Suzhou Ltd.,China,RAMATEX,FINISHED GOODS,Pass
Vo Nhai Garment Branch – TNG Investment and Trading JSC,Vietnam,VO NHAI 1 GARMENT BRANCH,FINISHED GOODS,Pass
SAN FANG (TR1) (TAIWAN),Taiwan,SAN FANG,MATERIALS,Pass
DASS Nordeste Calcados e Artigos Esportivos LTDA.,Brazil,DASS,FINISHED GOODS,Pass
AVERY DENNISON INDIA PVT LTD,India,AVERY DENNISON,MATERIALS,Pass
"XingNing City XinChang Shoes Co., LTD. YeTang Branch",China,DEAN SHOES,FINISHED GOODS - COMPONENTS,Pass
"Pacific Athletic Wear, Inc. ",USA,PACIFIC ATHLETIC WEAR,FINISHED GOODS,Pass
BAIKSAN (KOREA),South Korea,BAIKSAN,MATERIALS,Pass
Avery Dennison Tekstil Urunleri Sanayi ve Ticaret Ltd. Sti.,Turkey,AVERY DENNISON,MATERIALS,Pass
"Dong Guan Goldenprene Sporting Goods Co., Ltd.",China,GUANG DER,FINISHED GOODS,Pass
YOUNGIL (INDONESIA),Indonesia,YOUNGIL LEATHER,MATERIALS,Pass
"JIANGSU JINHUBAO GARMENT CO., LTD",China,DECOR,FINISHED GOODS,Pass
PT PRATAMA ABADI INDUSTRI,Indonesia,PRATAMA,FINISHED GOODS,Pass
"LEE BOU INTERNATIONAL BINH DUONG CO., LTD",Vietnam,LEE BOU LABEL ENTERPRISE,FINISHED GOODS - COMPONENTS,Pass
"Evermax Garment Accessories (Cambodia)Co., LTD",Cambodia,MAXIM,MATERIALS,Pass
"BRANCH 1 OF GREENTECH HEADGEAR CO., LTD IN DONG NAI",Vietnam,ASIAN SOURCING HEADWEAR,FINISHED GOODS,Pass
VINH TIEN GARMENT JOINT STOCK COMPANY,Vietnam,SOUTH ISLAND,FINISHED GOODS,Pass
PT Jinlin Luggage Indonesia,Indonesia,FORMOSA,FINISHED GOODS,Pass
"CHANG SHIN VIETNAM COMPANY, LTD.",Vietnam,CHANGSHIN,FINISHED GOODS,Pass
COCALQUI COOPERATIVA DE TRABALHO DA INDUSTRIA DE CALCADOS DE QUIXERAMOBIM LTDA.,Brazil,ANIGER,FINISHED GOODS,Pass
POVOLO SRL,Italy,POVOLO,FINISHED GOODS,Pass
"Men-Chuen Viet Nam Co., Ltd. (Nhon Trach VI)",Vietnam,MEN CHUEN,FINISHED GOODS - COMPONENTS,Pass
PT Victory Chingluh Indonesia,Indonesia,CHING LUH,FINISHED GOODS,Pass
"Olive Apparel (Cambodia) Co., Ltd.",Cambodia,RAMATEX,FINISHED GOODS,Pass
PT. Kanindo Makmur Jaya,Indonesia,KANAAN,FINISHED GOODS,Pass
MEN CHUEN FIBRE INDUSTRY CO LTD (LUZHU),Taiwan,MEN CHUEN,MATERIALS,Pass
South Island Garment Sdn Bhd,Malaysia,SOUTH ISLAND,FINISHED GOODS,Pass
EVEREST TEXTILE CO LTD,Taiwan,EVEREST TEXTILE,MATERIALS,Pass
JERASH GARMENTS AND FASHION MANUFACTURING CO LTD - UNIT 4,Jordan,"JERASH GARMENTS & FASHIONS, UNIT 4",FINISHED GOODS,Pass
Big Game Sports,USA,BIG GAME SPORTS,FINISHED GOODS,Pass
PT Semarang Garment,Indonesia,ONTIDE,FINISHED GOODS,Pass
Charmgo (Cambodia) Co. Ltd,Cambodia,CHARMGO,FINISHED GOODS,Pass
SAN FANG (TR1) (CHINA),China,SAN FANG,MATERIALS,Pass
Song Hong - Nghia Hung Garment Joint Stock Company,Vietnam,SONG HONG NGHIA HUNG COMPANY,FINISHED GOODS,Pass
MAXPORT LIMITED VIET NAM NAM DINH BRANCH MAXPORT 05,Vietnam,MAXPORT,FINISHED GOODS,Pass
"Fu-Luh Shoes Co., LTD",Vietnam,CHING LUH,FINISHED GOODS,Pass
"TIONG LIONG-Tiong Liong Industrial Co., Ltd. (Lamination)",Taiwan,TIONG LIONG GROUP,MATERIALS,Pass
"CHANG SHIN VIETNAM CO., LTD",Vietnam,CHANGSHIN,FINISHED GOODS,Pass
BRANCH OF MDK EMBROIDERIES GARMENTS COMPANY LIMITED - BINH CHANH 2 FACTORY,Vietnam,"THUAN PHUONG EMBROIDERIES GARMENTS CO., LTD - BINH CHANH FACTORY 2",FINISHED GOODS,Pass
"Future Garment Co., Ltd.",Thailand,HI TECH,FINISHED GOODS,Pass
ELITE SPORTSWEAR L.P.,USA,ELITE SPORTSWEAR,FINISHED GOODS,Pass
Qingyuan City Liannan Yao Nationality Autonomous County Rongfang Footwear,China,SHOETOWN,FINISHED GOODS,Pass
"Cheng Horng Industrial Co., Ltd.",Taiwan,LITTLE KING,MATERIALS,Pass
"Dongguan Dingjia Sporting Goods Co.,Ltd.",China,DONGGUAN DINGJIA,FINISHED GOODS,Pass
GreenTech Headgear Company Limited,Vietnam,ASIAN SOURCING HEADWEAR,FINISHED GOODS,Pass
Gianel Shoes srl,Italy,GIANEL,FINISHED GOODS,Pass
"Apple Apparel (Cambodia) Co., Ltd.",Cambodia,RAMATEX,FINISHED GOODS,Pass
"WEIXING INDUSTRIAL DEVELOPMENT CO., LTD. LINHAI ZIPPER BRANCH",China,WEIXING INDUSTRIAL DEVELOPMENT CO LTD,MATERIALS,Pass
"Annora Vietnam  Footwear Co.,Ltd",Vietnam,HUALI,FINISHED GOODS,Pass
TKG TAEKWANG VINA JOINT STOCK COMPANY-MY THO BRANCH,Vietnam,TAEKWANG,FINISHED GOODS - COMPONENTS,Pass
ALSTON APPAREL INC.,Philippines,SPORTS CITY,FINISHED GOODS,Pass
Pou Chen Corporation,Taiwan,POU CHEN,FINISHED GOODS,Pass
"Vietnam Golden Victory Co., Ltd.",Vietnam,STELLA,FINISHED GOODS,Pass
Zhejiang Guangtai Delta Socks Co. Ltd.,China,DELTA EQ GROUP,FINISHED GOODS,Pass
"Oriental Garment Co., Ltd – Nongbuadang",Thailand,ORIENTAL GARMENT,FINISHED GOODS,Pass
EUN SUNG GLOBAL CO LTD (KOREA),South Korea,EUN SUNG GLOBAL,MATERIALS,Pass
Dae Young Vina,Vietnam,DAE YOUNG RUBBER,FINISHED GOODS - COMPONENTS,Pass
Interloop Limited,Pakistan,INTERLOOP,FINISHED GOODS,Pass
Textivision,Mexico,FAR EASTERN,MATERIALS,Pass
TKG TAEKWANG VINA JOINT STOCK COMPANY,Vietnam,TAEKWANG,FINISHED GOODS,Pass
Sportek,Bosnia,DIAMANT,FINISHED GOODS,Pass
KURARAY CO LTD (CLARINO) (TR1) (TR1) (CHINA),China,KURARAY,MATERIALS,Pass
Dass Sul Calcados e Artigos Esportivos Ltda,Brazil,CLASSICO,FINISHED GOODS,Pass
"Fujian Xiefeng Footwear Co.,Ltd.",China,FENG TAY,FINISHED GOODS,Pass
PT. SHOETOWN LIGUNG INDONESIA,Indonesia,SHOETOWN,FINISHED GOODS,Pass
SAN FANG (TR1) (VIETNAM),Vietnam,SAN FANG,MATERIALS,Pass
"Eagle Nice (Yifeng) Garments Co., Ltd",China,EAGLE NICE,FINISHED GOODS,Pass
PT ECLAT TEXTILE INTERNATIONAL,Indonesia,ECLAT,FINISHED GOODS,Pass
Pingxiang City Guangxuan Footwear Co. Ltd.,China,SHOETOWN,FINISHED GOODS - COMPONENTS,Pass
Viet Long Hung Garment Company Limited,Vietnam,SOUTH ISLAND,FINISHED GOODS,Pass
YOU YOUNG (VIETNAM),Vietnam,YOU YOUNG,MATERIALS,Pass
ROLLSPORT VIETNAM FOOTWEAR LIMTED,Vietnam,HUALI,FINISHED GOODS - COMPONENTS,Pass
NAM THIEN COMPANY LIMITED,Vietnam,SOUTH ISLAND,FINISHED GOODS,Pass
KWAN TAT VIET NAM INDUSTRIAL LIMITED,Vietnam,KWAN TAT VIET NAM INDUSTRIAL LIMITED,FINISHED GOODS,Pass
KUO YUEN (TR1) (CHINA),China,KUO YUEN,MATERIALS,Pass
"Boling Digital (Xiamen) Technology Co.,Ltd",China,HADDAD,FINISHED GOODS,Pass
TDT Investment and Development JSC,Vietnam,TDT INVESTMENT AND DEVELOPMENT,FINISHED GOODS,Pass
TIGAMARO SRL,Italy,TIGAMARO,FINISHED GOODS,Pass
Maxport Limited (Viet Nam) - Thai Binh Branch,Vietnam,MAXPORT,FINISHED GOODS,Pass
Dass Nordeste Calcados e Artigos Esportivos Ltda,Brazil,DASS,FINISHED GOODS,Pass
MAS Al Safi Apparel Manufacturing LLC - Madaba,Jordan,MAS HOLDINGS,FINISHED GOODS,Pass
YANCHENG XINBO GARMENTS CO LTD,China,DECOR,FINISHED GOODS,Pass
Diamant srl,Italy,DIAMANT,FINISHED GOODS,Pass
ENVA TEXTILE GROUP FOR SOCKS PRODUCTION S.A.E,Egypt,ENVA TEXTILE GROUP,FINISHED GOODS,Pass
Lotus Footwear Enterprises Ltd. (India Branch) - Unit 1,India,FENG TAY,FINISHED GOODS,Pass
Ev-kon Tekstil San. Ve Tic. A.S.,Turkey,YESIM,FINISHED GOODS,Pass
Tho Xuan Corporation Company Limited,Vietnam,THO XUAN CORP,FINISHED GOODS,Pass
ISA INDUSTRIAL CO LTD (VIETNAM),Vietnam,ISA,MATERIALS,Pass
MILTEKS TEKSTIL SAN VE TIC AS,Turkey,MILTEKS,MATERIALS,Pass
"Atoms., Inc",Japan,ATOMS,FINISHED GOODS,Pass
Haivina Hong Linh Co. Ltd,Vietnam,HAIVINA HONG,FINISHED GOODS,Pass
Crystal Martin (Vietnam) Company Limited,Vietnam,CRYSTAL,FINISHED GOODS,Pass
GB LIGHT CO LTD (VIETNAM),Vietnam,GB LIGHT,MATERIALS,Pass
Lucky Star Vietnam Garment Company Limited,Vietnam,LUCKY STAR,FINISHED GOODS,Pass
"VIETNAM DONA ORIENT CO., LTD",Vietnam,FENG TAY,FINISHED GOODS,Pass
"Celeritas de San Bartolo, S.A. de C.V.",El Salvador,INDUSTRIAS MERLET,FINISHED GOODS,Pass
Texlan Center Private Limited,Sri Lanka,INTERLOOP,FINISHED GOODS,Pass
DUCKSAN CO LTD (KOREA),South Korea,DUCKSAN,MATERIALS,Pass
JOONGANG TEXTILE CO LTD (WARP/WEFT KNIT),South Korea,JOONGANG TEXTILE,MATERIALS,Pass
"Jiangxi Guangyou Shoetown Footwear Co., Ltd.",China,SHOETOWN,FINISHED GOODS,Pass
TEXTILES INTERNATIONAL OF EGYPT LTD.,Egypt,TIE TEXTILES,FINISHED GOODS,Pass
KUO YUEN (VIETNAM),Vietnam,KUO YUEN,MATERIALS,Pass
MAS KREEDA Shadeline ,Sri Lanka,MAS HOLDINGS,FINISHED GOODS,Pass
LIM SRL,Italy,LIM,FINISHED GOODS,Pass
Rollsport Vietnam Footwear Limited,Vietnam,HUALI,FINISHED GOODS,Pass
FORMOSA TAFFETA VIETNAM CO LTD,Vietnam,FORMOSA TAFFETA,MATERIALS,Pass
"SAB Industrial (Vietnam) Co.,Ltd.",Vietnam,WEIXING INDUSTRIAL DEVELOPMENT CO LTD,MATERIALS,Pass
Hua Feng Haptic Vietnam,Vietnam,HUA FENG TEXTILE,FINISHED GOODS - COMPONENTS,Pass
ORIENTAL GARMENT AN GIANG CO LTD,Vietnam,ORIENTAL GARMENT,FINISHED GOODS,Pass
GOLD LONG JOHN (TR1) (CHINA),China,GOLD LONG JOHN,FINISHED GOODS - COMPONENTS,Pass
PT Eagle Nice Indonesia,Indonesia,EAGLE NICE,FINISHED GOODS,Pass
SHANGHAI YKK ZIPPER CO LTD (NANHUI),China,YKK,MATERIALS,Pass
MAXIM SMART MANUFACTURING CO LTD,China,MAXIM,MATERIALS,Pass
TTG Co. Ltd.,Vietnam,SOUTH ISLAND,FINISHED GOODS,Pass
JDTEX INDUMENTARIA S.A.,Argentina,JDTEX INDUMENTARIA SA,FINISHED GOODS,Pass
"Shandong Yuanchenghe Garment Co.,Ltd",China,FAR EASTERN,FINISHED GOODS,Pass
TCS SRL,Italy,TCS,FINISHED GOODS,Pass
Grumax,Mexico,GRUPO,FINISHED GOODS,Pass
PT Marel Sukses Pratama,Indonesia,PT MAP,FINISHED GOODS,Pass
"Maxim Label and Packaging Vietnam Co., Ltd",Vietnam,MAXIM,MATERIALS,Pass
Marbelys 2,Guatemala,MARBELYS,FINISHED GOODS,Pass
"PROSPORTS FASHION (VIET NAM) CO., LTD.",Vietnam,PROSPORTS FASHION,FINISHED GOODS,Pass
EAGLE NICE VIETNAM COMPANY LIMITED,Vietnam,EAGLE NICE,FINISHED GOODS,Pass
"Xinchang Shoes Co.,Ltd",China,DEAN SHOES,FINISHED GOODS - COMPONENTS,Pass
Walt USA LLC,USA,ZHEJIANG WALT,FINISHED GOODS,Pass
XIANG ZHOU LEATHER CO LTD (CHINA),China,XIANG ZHOU LEATHER,MATERIALS,Pass
Ramatex Industrial (Nam Dinh) Company Limited,Vietnam,RAMATEX,MATERIALS,Pass
DAEHWA INDONESIA PT (TR1) (INDONESIA),Indonesia,DAEHWA,MATERIALS,Pass
"Vertex One Apparel Phils., Inc.",Philippines,SPORTS CITY,FINISHED GOODS,Pass
"Xiamen Xinduoyu Manufacturing Co., Ltd.",China,XIAMEN XINDUOYU MANUFACTURING,FINISHED GOODS,Pass
Avery Dennison RIS Vietnam Co. Ltd.,Vietnam,AVERY DENNISON,FINISHED GOODS - COMPONENTS,Pass
"Tremon Sporting Goods Enterprise Co.,Ltd",Vietnam,TREMON,FINISHED GOODS,Pass
"Huajin Textile Printing &Dyeing Co.,LTD",China,HUAJIN,MATERIALS,Pass
MAS KREEDA PDC & MEC,Sri Lanka,MAS HOLDINGS,FINISHED GOODS,Pass
TRIMCO GROUP (HONG KONG) CO LTD,China,TRIMCO GROUP,MATERIALS,Pass
MAS KREEDA Synergy ,Sri Lanka,MAS HOLDINGS,FINISHED GOODS,Pass
PT DAEWON ECO INDONESIA,Indonesia,DAEWON,MATERIALS,Pass
Cooperativa Textil Seuca Ltda.,Argentina,COOPERATIVA TEXTIL SEUCA,FINISHED GOODS,Pass
Ha Noi Garment No. 40 Joint Stock Company,Vietnam,MAXPORT,FINISHED GOODS,Pass
Ajara Textile Ltd (Rustavi),Georgia,MILTEKS,FINISHED GOODS,Pass
"JOY VINA FASHION CO., LTD",Vietnam,JOY VINA FASHION,FINISHED GOODS,Pass
"Long Yue Shoes Industrial Hui Zhou Co.,Ltd.",China,DEAN SHOES,FINISHED GOODS - COMPONENTS,Pass
PT YIH QUAN FOOTWEAR INDONESIA,Indonesia,LAI YIH,FINISHED GOODS,Pass
"JIAXING QUANG VIET GARMENT CO., LTD.",China,QUANG VIET,FINISHED GOODS,Pass
"PREMIER GLOBAL (VIETNAM) GARMENT FACTORY CO., LTD",Vietnam,NICE APPAREL,FINISHED GOODS,Pass
"WP Sports (Cambodia) Co., Ltd.",Cambodia,WELLPOWER,FINISHED GOODS,Pass
"CCH TOP VN CO., LTD.",Vietnam,CHUAN CHENG,FINISHED GOODS,Pass
Style Textile(Pvt.) Limited-SAP,Pakistan,STYLE TEXTILE,FINISHED GOODS,Pass
Jade Textile Alexandria  ,Egypt,YESIM,FINISHED GOODS,Pass
Gain Lucky (Vietnam) Limited,Vietnam,SHENZHOU,MATERIALS,Pass
PONY LEATHER CORPORATION (TAIWAN),Taiwan,PONY LEATHER CORPORATION,MATERIALS,Pass
PT Pratama Abadi Industri,Indonesia,PRATAMA,FINISHED GOODS,Pass
"Zhejiang Top Circle Textiles Co.,Ltd",China,ZHEJIANG TOP,FINISHED GOODS,Pass
Taitat Putra Rejeki,Indonesia,PT MAP,FINISHED GOODS,Pass
"Goodmate (Cambodia) Headwears Co., Ltd",Cambodia,GOODMATE,FINISHED GOODS,Pass
"Xiamen Kaiyuan Technology Co.,Ltd",China,XIAMEN KAIYUAN,FINISHED GOODS,Pass
"PHUC TAI TAY NINH CO., LTD",Vietnam,SPORTS GEAR,FINISHED GOODS,Pass
Avery Dennison RIS Italia S.r.l.,Italy,AVERY DENNISON,FINISHED GOODS - COMPONENTS,Pass
AVERY DENNISON RIS HONDURAS S DE R,Honduras,AVERY DENNISON,FINISHED GOODS - COMPONENTS,Pass
"Yichun Yisen Industry Co., Ltd",China,POU CHEN,FINISHED GOODS - COMPONENTS,Pass
PT MAS ARYA INDONESIA,Indonesia,MAS HOLDINGS,FINISHED GOODS,Pass
"Fujian Lifeng Footwear Industrial Development CO.,LTD.",China,FENG TAY,FINISHED GOODS,Pass
Ajara Textile Ltd (Poti),Georgia,MILTEKS,FINISHED GOODS,Pass
PT. TKG TAEKWANG CIREBON,Indonesia,TAEKWANG,FINISHED GOODS,Pass
Stretchline (Zhongshan) Limited,China,STRETCHLINE,MATERIALS,Pass
PT. CCH INDONESIA,Indonesia,CHUAN CHENG,FINISHED GOODS,Pass
SongSen Garment Suzhou Ltd,China,RAMATEX,FINISHED GOODS,Pass
YKK (THAILAND) CO LTD,Thailand,YKK,MATERIALS,Pass
"NAN YANG GARMENT CO.,LTD",Thailand,NAN YANG,FINISHED GOODS,Pass
