Org_Name,Region_Code,Parent_Group,Audit_Sector,Compliance_Status
RS/Tupa Ind. De Plastico Ltda,Brazil,RS TUPA INDUSTRIA DE PLASTICOS,FINISHED GOODS - COMPONENTS,Pass
"Chuzhou Korrun Future Luggage Products Co., Ltd",China,FORMOSA,FINISHED GOODS,Pass
"Pro Kingtex Vietnam Co., Ltd",Vietnam,EAGLE NICE,FINISHED GOODS,Pass
Nan Yang Garment,Thailand,NAN YANG,FINISHED GOODS,Pass
PT Batang Apparel Indonesia,Indonesia,ONTIDE,FINISHED GOODS,Pass
BAIKSAN (CHINA),China,BAIKSAN,MATERIALS,Pass
R. A. INTERTRADING S. A.,Argentina,RA INTERTRADING,FINISHED GOODS,Pass
Fairway Enterprises Company Limited (India Branch) -  Unit 2,India,FENG TAY,FINISHED GOODS,Pass
TKG TAEKWANG VINA JOINT STOCK COMPANY BRANCH 2,Vietnam,TAEKWANG,FINISHED GOODS,Pass
PMI Joinease plastic & metal products,China,PMI JOINEASE,FINISHED GOODS,Pass
TKG ECO MATERIAL SYNTHETIC (VIETNAM),Vietnam,TKG ECO MATERIAL,MATERIALS,Pass
"LI CHENG ENTERPRISE VIET NAM CO., LTD",Vietnam,LI CHENG ENTERPRISE,FINISHED GOODS - COMPONENTS,Pass
Ningbo Shenzhou Knitting Co. Ltd,China,SHENZHOU,FINISHED GOODS,Pass
Southern Apparel Contractors S.A. The Arena,Honduras,TEGRA,FINISHED GOODS,Pass
"JIAXING KANAAN BAG R&D CO.,LTD",China,KANAAN,FINISHED GOODS,Pass
GB LIGHT CO LTD,South Korea,GB LIGHT,MATERIALS,Pass
"AROMA SUCCESS GARMENT CO., LTD",Cambodia,SABRINA,FINISHED GOODS,Pass
"NB Apparel Co., Ltd",Thailand,NICE APPAREL,FINISHED GOODS,Pass
RJ Liebe Athletic Lettering Co.,USA,RJ LIEBE ATHLETIC LETTERING,FINISHED GOODS,Pass
Redwall,USA,REDWALL,FINISHED GOODS,Pass
Ortholite India Pvt Ltd.,India,ORTHOLITE,FINISHED GOODS - COMPONENTS,Pass
"JiangSu HongBao Sporting Goods Co., Ltd.",China,YEGIN,FINISHED GOODS,Pass
SAMBU FINE CHEMICAL CO LTD (VIETNAM),Vietnam,SAMBU FINE CHEMICAL,FINISHED GOODS - COMPONENTS,Pass
