Vendor,Category,Product_Type,Brand,Empty,Parent_Group,Address,Site_Location,State,Zip,Country,Region,Headcount,Female_Workers,Line_Workers,Migrant_Workers
VIETNAM JINTAI TEXTILE TECHNOLOGY COMPANY LIMITED,MATERIALS,Apparel,Nike,,JOV GARMENT ACCESSORIAL MATERIAL,LOT TMDV1  UYEN HUNG COMMERCIAL SERVICE AND RESIDENTIAL AREA QUARTER 7,Tan Uyen,Bình Duong,75406,Vietnam,SE ASIA,58,46,61,4
SADESA THAILAND (KABINBURI),MATERIALS,Footwear,Nike,,SADESA,139 2 MOO 5 SUWANASSORN ROAD TAMBON NONSRI,Kabinburi,Prachin Buri,25110,Thailand,SE ASIA,735,577,0,0
SAN FANG (TR1) (INDONESIA),MATERIALS,Footwear,Nike,,SAN FANG,JL MODERN INDUSTRI IV NO 10 12 16 18,"Serang , Banten",Banten,42185,Indonesia,S ASIA,487,396,8,5
Ramatex Textiles Industrial Sdn Bhd,MATERIALS,Apparel,Nike,,RAMATEX,PLO 230 Sri Gading Industrial Estate,Johor,Johor,83000,Malaysia,S ASIA,3678,3301,0,71
DONGJIN (Indonesia),MATERIALS,Footwear,Nike,,DONGJIN,Artha Industrial Hill,Karawang,Jawa Barat,41361,Indonesia,S ASIA,463,357,7,0
PROMAX TEXTILE (VIETNAM) CO. LTD.  (FTY 2),MATERIALS,Apparel,Nike,,PROMAX TEXTILE,Street No 5,Nhon Trach district,Ðng Nai,810000,Vietnam,SE ASIA,360,320,69,0
PAIHO (DONGGUAN 3),MATERIALS,Footwear,Nike,,PAIHO GROUP,HUANBAO INDUSTRY DISTRICT,DONGGUAN,Guangdong,523998,China,N ASIA,1800,950,58,0
FAR EASTERN POLYTEX (VIETNAM) LTD,MATERIALS,Apparel,Nike,Collegiate,FAR EASTERN,Land Lot B 5B CN Road DC Bau Bang Lai Uyen town,Bau Bang District,Bình Duong,75000,Vietnam,SE ASIA,1101,476,30,0
"Ting Heng Co., Ltd",MATERIALS,Footwear,Converse,,TING HENG,Lot HA3 and HA4 and 01HA5 and 02HA5,Duc Hoa,Long An,850000,Vietnam,SE ASIA,190,150,47,5
TONG HONG TANNERY CO LTD (VIETNAM),MATERIALS,Footwear,Nike,,TONG HONG,LOT NO II1 MY XUAN A2 INDUS MY XUAN WARD PHU MY CITY BRVT,PHU MY,Bà Ra - Vung Tàu,795638,Vietnam,SE ASIA,1310,1210,55,2
"FORMOSA TAFFETA (CHANGSHU) CO., LTD",MATERIALS,Apparel,Nike,,FORMOSA TAFFETA,No.15 Peng-Hu RD.,Changshu,Jiangsu,215500,China,N ASIA,234,128,30,0
"Vietnam ECI Elastic Co., Ltd",MATERIALS,Apparel,Nike,,ECI,Avenue D1 2 1,Binh Duong Ward,Ho Chi Minh,820000,Vietnam,SE ASIA,292,258,59,0
"DAEWON CHEMICAL VINA CO., LTD.",MATERIALS,Footwear,Nike,,DAEWON,ROAD NO 5 LONG THANH IZ AN PHUOC COMMUNE DONG NAI,LONG THANH,Ðng Nai,810000,Vietnam,SE ASIA,374,192,79,0
YKK Taiwan Chung Li 3rd Factory,MATERIALS,Footwear,Nike,,YKK,No 28 Heding Rd,Taoyuan,Taoyuan,32061,Taiwan,N ASIA,154,139,45,10
